AirlineName,TextBlob_Mean,Review_Count,TextBlob_Std,VADER_Mean,VADER_Std,Recommendation_Rate
Hainan Airlines,0.3094,199,0.1811,0.791,0.4419,87.9397
ANA All Nippon Airways,0.2555,176,0.1633,0.7372,0.4774,90.3409
China Southern Airlines,0.2359,993,0.1596,0.7189,0.4818,90.7351
Garuda Indonesia,0.2274,339,0.1952,0.6196,0.5626,82.0059
EVA Air,0.2682,177,0.2029,0.6186,0.6195,78.5311
Air Astana,0.2445,91,0.2249,0.606,0.5667,76.9231
Asiana Airlines,0.2012,137,0.1831,0.6039,0.572,75.1825
Qatar Airways,0.2372,1185,0.2107,0.5706,0.6275,76.5401
Japan Airlines,0.2236,145,0.1891,0.5587,0.6504,75.8621
Korean Air,0.1982,163,0.2072,0.5083,0.6635,69.3252
Vistara,0.2411,119,0.2534,0.505,0.6606,73.1092
Singapore Airlines,0.1829,627,0.2139,0.4742,0.6853,68.8995
Aegean Airlines,0.21,325,0.2226,0.4736,0.6627,69.8462
Thai Smile Airways,0.2132,144,0.2702,0.4579,0.6402,68.75
Bangkok Airways,0.1915,128,0.1767,0.4144,0.6882,71.875
Thai Airways,0.1647,397,0.2034,0.3679,0.7461,62.4685
Cathay Pacific Airways,0.1566,525,0.2003,0.3668,0.7504,61.9048
AirAsia X,0.1484,72,0.191,0.3584,0.6783,65.2778
China Airlines,0.153,138,0.2072,0.3395,0.7638,63.0435
Fiji Airways,0.1272,75,0.2244,0.2488,0.7532,45.3333
Virgin Atlantic,0.0999,205,0.2021,0.2355,0.7775,40.0
Oman Air,0.1234,202,0.2548,0.2274,0.756,48.5149
Qantas Airways,0.1099,790,0.2021,0.2154,0.7768,49.1139
SriLankan Airlines,0.1304,206,0.2521,0.2128,0.8081,50.4854
Volotea,0.1382,168,0.2357,0.1993,0.7419,54.1667
Vietnam Airlines,0.1025,230,0.198,0.1914,0.7712,56.5217
KLM Royal Dutch Airlines,0.1154,740,0.2101,0.177,0.7975,47.7027
Finnair,0.1028,308,0.1887,0.1684,0.7888,44.1558
Philippine Airlines,0.1077,331,0.2099,0.1648,0.7647,43.5045
Aeroflot Russian Airlines,0.1139,225,0.2047,0.1625,0.8019,52.8889
Gulf Air,0.0909,146,0.2258,0.1554,0.7947,47.2603
Malaysia Airlines,0.1087,586,0.2047,0.1535,0.7959,50.3413
Emirates,0.1192,1087,0.2134,0.1524,0.7959,43.7902
Swiss Intl Air Lines,0.1057,431,0.2202,0.1453,0.7932,48.9559
Air France,0.1076,546,0.2027,0.1447,0.795,45.9707
WOW air,0.0286,365,0.1727,0.1357,0.7859,21.3699
Air New Zealand,0.1125,300,0.2004,0.1245,0.804,41.0
Lufthansa,0.0963,1011,0.2077,0.1156,0.7844,45.0049
Virgin Australia,0.0878,378,0.1969,0.1051,0.7846,43.1217
South African Airways,0.105,116,0.1789,0.1014,0.7894,48.2759
Batik Air,0.0678,69,0.2028,0.0958,0.8062,49.2754
Norwegian,0.1021,535,0.1805,0.0865,0.7794,40.1869
British Airways,0.0713,1552,0.1697,0.0748,0.7811,35.567
Thomas Cook Airlines,0.0762,150,0.1767,0.0556,0.7802,36.0
Austrian Airlines,0.082,286,0.2179,0.0441,0.7645,41.6084
Icelandair,0.0605,246,0.1687,0.0003,0.773,29.6748
Air Berlin,0.0853,131,0.1968,-0.0056,0.8175,35.8779
El Al Israel Airlines,0.0526,97,0.2369,-0.0062,0.776,31.9588
easyJet,0.0651,658,0.1978,-0.015,0.7614,37.69
Ethiopian Airlines,0.0787,240,0.2055,-0.0191,0.805,38.75
Aer Lingus,0.065,362,0.2046,-0.0197,0.778,35.9116
airBaltic,0.0907,97,0.2231,-0.0241,0.7616,28.866
AirAsia,0.0647,378,0.2143,-0.0259,0.7176,38.8889
Saudi Arabian Airlines,0.0455,183,0.249,-0.0297,0.799,40.9836
FlySafair,0.0392,78,0.2982,-0.0322,0.8064,43.5897
Air Serbia,0.0672,127,0.2394,-0.0324,0.803,33.0709
Scoot,0.0685,283,0.1973,-0.0344,0.7675,33.2155
Ryanair,0.0485,1023,0.1995,-0.0429,0.7495,33.8221
Royal Air Maroc,0.1104,106,0.2265,-0.0439,0.828,39.6226
SAS Scandinavian,0.0701,338,0.2025,-0.0669,0.7808,29.8817
Turkish Airlines,0.0712,1260,0.2246,-0.0672,0.7996,34.6032
Alitalia,0.0554,248,0.2373,-0.0687,0.7923,38.3065
Southwest Airlines,0.0511,892,0.2036,-0.0841,0.7646,28.139
Air Canada rouge,0.0493,323,0.1986,-0.0881,0.7813,23.5294
Malindo Air,0.0341,202,0.2331,-0.089,0.7572,33.1683
Air Transat,0.043,242,0.1954,-0.0914,0.7699,30.5785
United Airlines,0.0009,2215,0.2007,-0.0922,0.7547,16.5688
Transavia,0.0634,130,0.2049,-0.0935,0.7605,34.6154
Brussels Airlines,0.0624,207,0.2032,-0.0941,0.782,27.5362
Jet Airways,0.0193,223,0.214,-0.0952,0.7751,29.148
Kenya Airways,0.0606,166,0.1855,-0.0954,0.8107,36.1446
Alaska Airlines,0.0403,393,0.2273,-0.1004,0.7665,26.972
Etihad Airways,0.0398,797,0.2039,-0.1062,0.7876,26.9762
Delta Air Lines,0.0366,1310,0.1996,-0.1069,0.7667,27.4046
SpiceJet,0.0175,325,0.3061,-0.1099,0.7835,32.3077
Egyptair,0.0477,150,0.24,-0.1184,0.8038,32.0
China Eastern Airlines,0.0529,237,0.1807,-0.1205,0.8156,35.443
Hawaiian Airlines,0.033,149,0.1963,-0.1229,0.7611,24.8322
WestJet Airlines,0.0405,534,0.2042,-0.1302,0.7668,22.2846
LOT Polish Airlines,0.0395,304,0.2089,-0.1305,0.7663,28.9474
Air China,0.0196,359,0.1857,-0.1336,0.8124,31.7549
Air India,0.0255,530,0.2411,-0.1376,0.799,32.4528
Air Canada,0.032,1071,0.1933,-0.1461,0.7571,25.5836
Kuwait Airways,0.0489,104,0.2558,-0.1594,0.7964,32.6923
LATAM Airlines,0.0533,262,0.194,-0.1611,0.7423,21.7557
Iberia,0.0405,306,0.1874,-0.1709,0.7491,24.8366
Porter Airlines,0.0325,133,0.1828,-0.1754,0.7173,15.7895
Aeromexico,0.0252,338,0.2157,-0.1799,0.7339,26.9231
TAP Portugal,0.0377,660,0.1948,-0.1846,0.7712,23.0303
CSA Czech Airlines,0.0274,82,0.2059,-0.2027,0.7493,23.1707
Sun Country Airlines,0.0155,178,0.2055,-0.2055,0.7204,18.5393
Royal Jordanian Airlines,0.0051,130,0.2468,-0.2153,0.7946,31.5385
Jetstar Airways,0.0203,571,0.1972,-0.2188,0.7133,21.366
Copa Airlines,0.0161,163,0.1943,-0.2269,0.7269,22.0859
Ukraine International,0.0301,207,0.2065,-0.2372,0.7763,24.6377
Jetblue Airways,0.0237,793,0.2031,-0.2396,0.7414,19.1677
Flair Airlines,0.0308,542,0.2183,-0.2427,0.715,18.8192
Sunwing Airlines,0.0401,195,0.207,-0.2444,0.7292,17.4359
Spirit Airlines,-0.0135,2630,0.2017,-0.2476,0.7039,12.3194
Lion Air,0.0047,91,0.2209,-0.2518,0.6884,24.1758
Eurowings,0.0124,235,0.1815,-0.2571,0.7257,20.0
VietJet Air,0.0121,353,0.2293,-0.2574,0.719,19.83
flydubai,0.0198,203,0.2459,-0.2582,0.7551,23.6453
VivaAerobús,0.0006,82,0.2119,-0.2666,0.6615,8.5366
Condor Airlines,-0.0126,150,0.2137,-0.2944,0.711,16.6667
American Airlines,-0.0027,2930,0.1684,-0.3043,0.7026,11.5358
Air Europa,-0.0007,204,0.221,-0.3064,0.761,20.5882
Breeze Airways,0.0037,70,0.2179,-0.3081,0.688,14.2857
Wizz Air,-0.0175,415,0.2203,-0.3139,0.6872,15.1807
Allegiant Air,0.0082,943,0.2022,-0.3202,0.6799,13.5737
Avianca,-0.0055,302,0.2005,-0.3269,0.6836,17.2185
Pegasus Airlines,0.0082,176,0.212,-0.3472,0.7213,22.7273
Vueling Airlines,-0.0006,587,0.2132,-0.3659,0.6868,17.5468
Frontier Airlines,-0.0271,1773,0.194,-0.3898,0.6402,6.7118
Silver Airways,-0.0204,123,0.2096,-0.3932,0.665,13.0081
GoAir,-0.0823,117,0.2618,-0.4511,0.6059,11.1111
Volaris,-0.0508,220,0.1994,-0.4763,0.6032,7.2727
